Cliente;Edad;Antiguedad;Espacios Parqueo;Velocidad Cajas;Distribucion Productos;Atencion Empleados;Calidad Instalaciones;Ubicacion;Limpieza;Variedad Productos;Prestigio Empresa;Calidad Servicio
 Ariana ;25;01;7,6;7,6;7,8;9,7;5,0;9,0;7,6;5,6;7,0;6,6
 Guiselle ;24;00;4,8;9,0;7,2;10,0;2,0;9,6;6,8;8,4;9,8;5,4
 Francisco ;28;07;6,8;8,4;7,6;8,7;2,7;9,2;6,2;9,0;9,6;8,5
 Griselda ;23;00;3,4;7,8;9,0;10,0;1,0;10,0;4,4;4,0;2,8;5,4
 Damaris ;49;06;7,0;3,2;1,2;10,0;4,0;9,0;1,4;4,8;2,6;3,3
 Johana ;32;04;5,6;7,8;6,8;10,0;3,0;10,0;5,0;4,2;4,2;7,2
 Bernal ;26;00;6,2;8,0;6,6;9,3;3,3;8,6;7,8;6,4;9,6;6,5
 Freddy ;23;04;5,6;6,8;6,2;9,7;4,0;6,8;6,8;7,4;5,6;4,5
 Estafania ;25;04;4,6;8,0;3,8;10,0;1,7;9,8;5,0;4,4;6,0;7,6
 Laura ;29;00;5,4;6,4;8,8;9,7;6,7;10,0;5,6;6,2;8,4;6,5
 Arnoldo ;32;13;4,2;7,8;7,6;10,0;1,3;9,6;7,4;6,4;7,0;3,9
 Beatriz ;27;05;8,0;9,4;5,6;8,7;4,0;7,4;7,2;6,6;7,6;5,4
 Rebeca ;22;00;6,8;9,0;9,0;10,0;5,0;9,4;6,0;7,0;9,4;4,6
 Sofia ;31;05;7,2;7,6;7,6;10,0;5,3;9,6;7,6;7,0;8,8;2,4
 Ingrid ;27;05;6,2;7,8;5,0;10,0;5,0;9,0;4,2;7,6;7,4;4,0
 Rocio ;42;04;6,2;9,0;6,2;10,0;3,0;7,4;6,2;6,2;5,2;5,7
 Karen ;43;05;6,6;7,8;5,6;9,7;3,7;8,8;7,2;6,2;8,0;5,4
 Luis ;24;04;7,8;7,2;9,6;9,0;3,0;9,4;8,0;9,4;8,0;8,8
 Pedro ;21;01;6,2;9,6;8,4;10,0;5,3;10,0;9,0;8,4;9,6;6,0
 Lorena ;30;04;6,8;7,8;4,0;9,3;2,7;9,2;6,8;6,2;4,6;4,5
 Elena ;31;05;7,0;7,4;8,0;9,3;3,3;8,6;7,8;9,2;8,4;5,6
 Julian ;40;05;5,0;7,8;3,4;9,7;3,3;9,2;4,2;6,0;5,0;1,5
 Natalie ;34;01;6,4;5,6;3,4;10,0;0,7;10,0;8,4;7,2;9,6;4,6
 Shirley ;24;00;3,8;9,6;6,0;7,7;1,0;9,4;6,4;6,0;5,2;3,0
 Andres ;38;03;6,0;7,8;3,6;9,3;2,3;9,6;4,8;5,8;6,4;6,9
 Alejandro ;26;06;6,2;8,6;8,0;9,3;5,0;8,6;5,6;6,6;6,6;3,2
 Grace ;28;00;6,0;7,8;3,0;10,0;0,7;10,0;7,0;6,2;5,8;5,5
 Nuria ;21;00;6,8;8,0;8,6;9,3;3,7;7,8;7,8;8,0;7,4;2,3
 Flor ;24;01;7,6;7,2;7,4;10,0;6,0;8,0;6,2;8,0;6,6;2,5
 Roberto ;41;08;6,8;8,8;6,4;10,0;5,0;8,6;8,2;7,4;6,6;3,2
 Victor ;27;03;7,6;8,2;9,4;9,7;2,0;9,4;7,8;7,0;8,2;5,2
 Arturo ;34;05;7,2;7,8;8,6;9,7;3,0;7,4;6,8;5,8;8,2;6,5
 Maritza ;24;04;6,8;8,2;7,2;10,0;3,7;9,4;9,6;9,0;8,2;5,8
 Diana ;24;01;3,4;8,2;3,8;10,0;0,7;9,2;7,6;6,6;6,4;2,6
 Juan ;23;04;6,0;6,6;4,0;10,0;3,0;6,8;6,2;6,8;4,6;8,1
 Guillermo ;19;01;4,8;9,6;9,2;9,0;4,0;9,6;7,6;7,2;8,8;4,8
 Silvia ;25;02;6,0;9,0;8,2;10,0;6,0;9,6;9,2;9,2;8,6;5,5
